Comunidad autónoma;Motivos por los que no exiten puestos de trabajo vacantes;Periodo;Total
06 Cantabria;Total;2015T1;100
06 Cantabria;Total;2014T4;100
06 Cantabria;Total;2014T3;100
06 Cantabria;Total;2014T2;100
06 Cantabria;Total;2014T1;100
06 Cantabria;Total;2013T4;100
06 Cantabria;Total;2013T3;100
06 Cantabria;No se necesita ningún trabajador;2024T4;89,8
06 Cantabria;No se necesita ningún trabajador;2024T3;90,9
06 Cantabria;No se necesita ningún trabajador;2024T2;90,8
06 Cantabria;No se necesita ningún trabajador;2024T1;90,6
06 Cantabria;No se necesita ningún trabajador;2023T4;91
06 Cantabria;No se necesita ningún trabajador;2023T3;92,3
06 Cantabria;No se necesita ningún trabajador;2023T2;92,6
06 Cantabria;No se necesita ningún trabajador;2023T1;94,1
06 Cantabria;No se necesita ningún trabajador;2022T4;89,5
06 Cantabria;No se necesita ningún trabajador;2022T3;91
06 Cantabria;No se necesita ningún trabajador;2022T2;91,9
06 Cantabria;No se necesita ningún trabajador;2022T1;91,5
06 Cantabria;No se necesita ningún trabajador;2021T4;94,4
06 Cantabria;No se necesita ningún trabajador;2021T3;94,8
06 Cantabria;No se necesita ningún trabajador;2021T2;92,7
06 Cantabria;No se necesita ningún trabajador;2021T1;93,1
06 Cantabria;No se necesita ningún trabajador;2020T4;94,4
06 Cantabria;No se necesita ningún trabajador;2020T3;93,8
06 Cantabria;No se necesita ningún trabajador;2020T2;95
06 Cantabria;No se necesita ningún trabajador;2020T1;92,5
06 Cantabria;No se necesita ningún trabajador;2019T4;92,4
06 Cantabria;No se necesita ningún trabajador;2019T3;92,4
06 Cantabria;No se necesita ningún trabajador;2019T2;91,9
06 Cantabria;No se necesita ningún trabajador;2019T1;92,2
06 Cantabria;No se necesita ningún trabajador;2018T4;93,7
06 Cantabria;No se necesita ningún trabajador;2018T3;94
06 Cantabria;No se necesita ningún trabajador;2018T2;94,1
06 Cantabria;No se necesita ningún trabajador;2018T1;92,4
06 Cantabria;No se necesita ningún trabajador;2017T4;94,8
06 Cantabria;No se necesita ningún trabajador;2017T3;93,9
06 Cantabria;No se necesita ningún trabajador;2017T2;94,3
06 Cantabria;No se necesita ningún trabajador;2017T1;92,5
06 Cantabria;No se necesita ningún trabajador;2016T4;96,9
06 Cantabria;No se necesita ningún trabajador;2016T3;97
06 Cantabria;No se necesita ningún trabajador;2016T2;96,9
06 Cantabria;No se necesita ningún trabajador;2016T1;94,1
06 Cantabria;No se necesita ningún trabajador;2015T4;93,8
06 Cantabria;No se necesita ningún trabajador;2015T3;96,9
06 Cantabria;No se necesita ningún trabajador;2015T2;96,1
06 Cantabria;No se necesita ningún trabajador;2015T1;94,5
06 Cantabria;No se necesita ningún trabajador;2014T4;94,8
06 Cantabria;No se necesita ningún trabajador;2014T3;95,1
06 Cantabria;No se necesita ningún trabajador;2014T2;94,3
06 Cantabria;No se necesita ningún trabajador;2014T1;96,8
06 Cantabria;No se necesita ningún trabajador;2013T4;92,5
06 Cantabria;No se necesita ningún trabajador;2013T3;94,8
06 Cantabria;Elevado coste de contratación;2024T4;3,9
06 Cantabria;Elevado coste de contratación;2024T3;5,6
06 Cantabria;Elevado coste de contratación;2024T2;2,8
06 Cantabria;Elevado coste de contratación;2024T1;5,2
06 Cantabria;Elevado coste de contratación;2023T4;5,3
06 Cantabria;Elevado coste de contratación;2023T3;4,1
06 Cantabria;Elevado coste de contratación;2023T2;3,1
06 Cantabria;Elevado coste de contratación;2023T1;3,2
06 Cantabria;Elevado coste de contratación;2022T4;6,6
06 Cantabria;Elevado coste de contratación;2022T3;4,3
06 Cantabria;Elevado coste de contratación;2022T2;4,2
06 Cantabria;Elevado coste de contratación;2022T1;5,1
06 Cantabria;Elevado coste de contratación;2021T4;3,7
06 Cantabria;Elevado coste de contratación;2021T3;3,4
06 Cantabria;Elevado coste de contratación;2021T2;4
06 Cantabria;Elevado coste de contratación;2021T1;4,8
06 Cantabria;Elevado coste de contratación;2020T4;3,2
06 Cantabria;Elevado coste de contratación;2020T3;4,5
06 Cantabria;Elevado coste de contratación;2020T2;2,7
06 Cantabria;Elevado coste de contratación;2020T1;5,1
06 Cantabria;Elevado coste de contratación;2019T4;5,6
06 Cantabria;Elevado coste de contratación;2019T3;5,9
06 Cantabria;Elevado coste de contratación;2019T2;6,3
06 Cantabria;Elevado coste de contratación;2019T1;5,7
06 Cantabria;Elevado coste de contratación;2018T4;4,7
06 Cantabria;Elevado coste de contratación;2018T3;4,5
06 Cantabria;Elevado coste de contratación;2018T2;5
06 Cantabria;Elevado coste de contratación;2018T1;5,6
06 Cantabria;Elevado coste de contratación;2017T4;3,8
06 Cantabria;Elevado coste de contratación;2017T3;4,7
06 Cantabria;Elevado coste de contratación;2017T2;4,3
06 Cantabria;Elevado coste de contratación;2017T1;5,2
06 Cantabria;Elevado coste de contratación;2016T4;2,4
06 Cantabria;Elevado coste de contratación;2016T3;1,5
06 Cantabria;Elevado coste de contratación;2016T2;1,5
06 Cantabria;Elevado coste de contratación;2016T1;3,6
06 Cantabria;Elevado coste de contratación;2015T4;2,4
06 Cantabria;Elevado coste de contratación;2015T3;1,5
06 Cantabria;Elevado coste de contratación;2015T2;2,7
06 Cantabria;Elevado coste de contratación;2015T1;3
06 Cantabria;Elevado coste de contratación;2014T4;3,1
06 Cantabria;Elevado coste de contratación;2014T3;3,1
06 Cantabria;Elevado coste de contratación;2014T2;3,2
06 Cantabria;Elevado coste de contratación;2014T1;1
06 Cantabria;Elevado coste de contratación;2013T4;2,6
06 Cantabria;Elevado coste de contratación;2013T3;3
06 Cantabria;Otros;2024T4;6,3
06 Cantabria;Otros;2024T3;3,5
06 Cantabria;Otros;2024T2;6,4
06 Cantabria;Otros;2024T1;4,2
06 Cantabria;Otros;2023T4;3,7
06 Cantabria;Otros;2023T3;3,6
06 Cantabria;Otros;2023T2;4,3
06 Cantabria;Otros;2023T1;2,7
06 Cantabria;Otros;2022T4;3,9
06 Cantabria;Otros;2022T3;4,7
06 Cantabria;Otros;2022T2;3,9
06 Cantabria;Otros;2022T1;3,4
06 Cantabria;Otros;2021T4;1,9
06 Cantabria;Otros;2021T3;1,8
06 Cantabria;Otros;2021T2;3,3
06 Cantabria;Otros;2021T1;2,1
06 Cantabria;Otros;2020T4;2,4
06 Cantabria;Otros;2020T3;1,7
06 Cantabria;Otros;2020T2;2,3
06 Cantabria;Otros;2020T1;2,4
06 Cantabria;Otros;2019T4;2
06 Cantabria;Otros;2019T3;1,7
06 Cantabria;Otros;2019T2;1,8
06 Cantabria;Otros;2019T1;2,1
06 Cantabria;Otros;2018T4;1,6
06 Cantabria;Otros;2018T3;1,5
06 Cantabria;Otros;2018T2;0,9
06 Cantabria;Otros;2018T1;2
06 Cantabria;Otros;2017T4;1,4
06 Cantabria;Otros;2017T3;1,4
06 Cantabria;Otros;2017T2;1,4
06 Cantabria;Otros;2017T1;2,3
06 Cantabria;Otros;2016T4;0,7
06 Cantabria;Otros;2016T3;1,5
06 Cantabria;Otros;2016T2;1,6
06 Cantabria;Otros;2016T1;2,3
06 Cantabria;Otros;2015T4;3,8
06 Cantabria;Otros;2015T3;1,6
06 Cantabria;Otros;2015T2;1,2
06 Cantabria;Otros;2015T1;2,5
06 Cantabria;Otros;2014T4;2,1
06 Cantabria;Otros;2014T3;1,8
06 Cantabria;Otros;2014T2;2,5
06 Cantabria;Otros;2014T1;2,3
06 Cantabria;Otros;2013T4;4,9
06 Cantabria;Otros;2013T3;2,2
07 Castilla y León;Total;2024T4;100
07 Castilla y León;Total;2024T3;100
07 Castilla y León;Total;2024T2;100
07 Castilla y León;Total;2024T1;100
07 Castilla y León;Total;2023T4;100
07 Castilla y León;Total;2023T3;100
07 Castilla y León;Total;2023T2;100
07 Castilla y León;Total;2023T1;100
07 Castilla y León;Total;2022T4;100
07 Castilla y León;Total;2022T3;100
07 Castilla y León;Total;2022T2;100
07 Castilla y León;Total;2022T1;100
07 Castilla y León;Total;2021T4;100
07 Castilla y León;Total;2021T3;100
07 Castilla y León;Total;2021T2;100
07 Castilla y León;Total;2021T1;100
07 Castilla y León;Total;2020T4;100
07 Castilla y León;Total;2020T3;100
07 Castilla y León;Total;2020T2;100
07 Castilla y León;Total;2020T1;100
07 Castilla y León;Total;2019T4;100
07 Castilla y León;Total;2019T3;100
07 Castilla y León;Total;2019T2;100
07 Castilla y León;Total;2019T1;100
07 Castilla y León;Total;2018T4;100
07 Castilla y León;Total;2018T3;100
07 Castilla y León;Total;2018T2;100
07 Castilla y León;Total;2018T1;100
07 Castilla y León;Total;2017T4;100
07 Castilla y León;Total;2017T3;100
07 Castilla y León;Total;2017T2;100
07 Castilla y León;Total;2017T1;100
07 Castilla y León;Total;2016T4;100
07 Castilla y León;Total;2016T3;100
07 Castilla y León;Total;2016T2;100
07 Castilla y León;Total;2016T1;100
07 Castilla y León;Total;2015T4;100
07 Castilla y León;Total;2015T3;100
07 Castilla y León;Total;2015T2;100
07 Castilla y León;Total;2015T1;100
07 Castilla y León;Total;2014T4;100
07 Castilla y León;Total;2014T3;100
07 Castilla y León;Total;2014T2;100
07 Castilla y León;Total;2014T1;100
07 Castilla y León;Total;2013T4;100
07 Castilla y León;Total;2013T3;100
07 Castilla y León;No se necesita ningún trabajador;2024T4;89,4
07 Castilla y León;No se necesita ningún trabajador;2024T3;92,2
07 Castilla y León;No se necesita ningún trabajador;2024T2;91,6
07 Castilla y León;No se necesita ningún trabajador;2024T1;90,4
07 Castilla y León;No se necesita ningún trabajador;2023T4;90,1
07 Castilla y León;No se necesita ningún trabajador;2023T3;89,9
07 Castilla y León;No se necesita ningún trabajador;2023T2;91,7
07 Castilla y León;No se necesita ningún trabajador;2023T1;92
07 Castilla y León;No se necesita ningún trabajador;2022T4;91,5
07 Castilla y León;No se necesita ningún trabajador;2022T3;92,6
07 Castilla y León;No se necesita ningún trabajador;2022T2;92,3
07 Castilla y León;No se necesita ningún trabajador;2022T1;94
07 Castilla y León;No se necesita ningún trabajador;2021T4;95,4
07 Castilla y León;No se necesita ningún trabajador;2021T3;95,7
07 Castilla y León;No se necesita ningún trabajador;2021T2;95,5
07 Castilla y León;No se necesita ningún trabajador;2021T1;95
07 Castilla y León;No se necesita ningún trabajador;2020T4;95
07 Castilla y León;No se necesita ningún trabajador;2020T3;93,7
07 Castilla y León;No se necesita ningún trabajador;2020T2;94,2
07 Castilla y León;No se necesita ningún trabajador;2020T1;92,7
07 Castilla y León;No se necesita ningún trabajador;2019T4;91,1
07 Castilla y León;No se necesita ningún trabajador;2019T3;92,2
07 Castilla y León;No se necesita ningún trabajador;2019T2;92
07 Castilla y León;No se necesita ningún trabajador;2019T1;93,9
07 Castilla y León;No se necesita ningún trabajador;2018T4;93
07 Castilla y León;No se necesita ningún trabajador;2018T3;93,5
07 Castilla y León;No se necesita ningún trabajador;2018T2;95
07 Castilla y León;No se necesita ningún trabajador;2018T1;91,7
07 Castilla y León;No se necesita ningún trabajador;2017T4;92,7
07 Castilla y León;No se necesita ningún trabajador;2017T3;94,3
07 Castilla y León;No se necesita ningún trabajador;2017T2;93,3
07 Castilla y León;No se necesita ningún trabajador;2017T1;92
07 Castilla y León;No se necesita ningún trabajador;2016T4;95,6
07 Castilla y León;No se necesita ningún trabajador;2016T3;94,1
07 Castilla y León;No se necesita ningún trabajador;2016T2;94,6
07 Castilla y León;No se necesita ningún trabajador;2016T1;92,9
07 Castilla y León;No se necesita ningún trabajador;2015T4;94
07 Castilla y León;No se necesita ningún trabajador;2015T3;92,5
07 Castilla y León;No se necesita ningún trabajador;2015T2;91,9
07 Castilla y León;No se necesita ningún trabajador;2015T1;93,8
07 Castilla y León;No se necesita ningún trabajador;2014T4;94,9
07 Castilla y León;No se necesita ningún trabajador;2014T3;95
07 Castilla y León;No se necesita ningún trabajador;2014T2;95,1
07 Castilla y León;No se necesita ningún trabajador;2014T1;95
07 Castilla y León;No se necesita ningún trabajador;2013T4;92,7
07 Castilla y León;No se necesita ningún trabajador;2013T3;94,8
07 Castilla y León;Elevado coste de contratación;2024T4;5,1
07 Castilla y León;Elevado coste de contratación;2024T3;4,1
07 Castilla y León;Elevado coste de contratación;2024T2;4,5
07 Castilla y León;Elevado coste de contratación;2024T1;4,6
07 Castilla y León;Elevado coste de contratación;2023T4;6,6
07 Castilla y León;Elevado coste de contratación;2023T3;5,3
07 Castilla y León;Elevado coste de contratación;2023T2;4,6
07 Castilla y León;Elevado coste de contratación;2023T1;3,4
07 Castilla y León;Elevado coste de contratación;2022T4;4
07 Castilla y León;Elevado coste de contratación;2022T3;3,8
07 Castilla y León;Elevado coste de contratación;2022T2;3
07 Castilla y León;Elevado coste de contratación;2022T1;2,6
07 Castilla y León;Elevado coste de contratación;2021T4;1,9
07 Castilla y León;Elevado coste de contratación;2021T3;2,4
07 Castilla y León;Elevado coste de contratación;2021T2;2,3
07 Castilla y León;Elevado coste de contratación;2021T1;2,9
07 Castilla y León;Elevado coste de contratación;2020T4;3,5
07 Castilla y León;Elevado coste de contratación;2020T3;2,5
07 Castilla y León;Elevado coste de contratación;2020T2;4,3
07 Castilla y León;Elevado coste de contratación;2020T1;5,4
07 Castilla y León;Elevado coste de contratación;2019T4;5,5
07 Castilla y León;Elevado coste de contratación;2019T3;5,2
07 Castilla y León;Elevado coste de contratación;2019T2;5,4
07 Castilla y León;Elevado coste de contratación;2019T1;4,2
07 Castilla y León;Elevado coste de contratación;2018T4;5
07 Castilla y León;Elevado coste de contratación;2018T3;4,3
07 Castilla y León;Elevado coste de contratación;2018T2;2
07 Castilla y León;Elevado coste de contratación;2018T1;4,6
07 Castilla y León;Elevado coste de contratación;2017T4;4,1
07 Castilla y León;Elevado coste de contratación;2017T3;2,4
07 Castilla y León;Elevado coste de contratación;2017T2;3,9
07 Castilla y León;Elevado coste de contratación;2017T1;4,4
07 Castilla y León;Elevado coste de contratación;2016T4;2,3
07 Castilla y León;Elevado coste de contratación;2016T3;4,3
07 Castilla y León;Elevado coste de contratación;2016T2;3,9
07 Castilla y León;Elevado coste de contratación;2016T1;3,1
07 Castilla y León;Elevado coste de contratación;2015T4;3,2
07 Castilla y León;Elevado coste de contratación;2015T3;4,4
07 Castilla y León;Elevado coste de contratación;2015T2;5,1
07 Castilla y León;Elevado coste de contratación;2015T1;3,8
07 Castilla y León;Elevado coste de contratación;2014T4;3,3
07 Castilla y León;Elevado coste de contratación;2014T3;3
07 Castilla y León;Elevado coste de contratación;2014T2;3,3
07 Castilla y León;Elevado coste de contratación;2014T1;3,4
07 Castilla y León;Elevado coste de contratación;2013T4;5,3
07 Castilla y León;Elevado coste de contratación;2013T3;2,7
07 Castilla y León;Otros;2024T4;5,5
07 Castilla y León;Otros;2024T3;3,7
07 Castilla y León;Otros;2024T2;3,9
07 Castilla y León;Otros;2024T1;5
07 Castilla y León;Otros;2023T4;3,3
07 Castilla y León;Otros;2023T3;4,8
07 Castilla y León;Otros;2023T2;3,7
07 Castilla y León;Otros;2023T1;4,6
07 Castilla y León;Otros;2022T4;4,5
07 Castilla y León;Otros;2022T3;3,6
07 Castilla y León;Otros;2022T2;4,7
07 Castilla y León;Otros;2022T1;3,4
07 Castilla y León;Otros;2021T4;2,7
07 Castilla y León;Otros;2021T3;1,9
07 Castilla y León;Otros;2021T2;2,2
07 Castilla y León;Otros;2021T1;2,1
07 Castilla y León;Otros;2020T4;1,5
07 Castilla y León;Otros;2020T3;3,8
07 Castilla y León;Otros;2020T2;1,5
07 Castilla y León;Otros;2020T1;1,9
07 Castilla y León;Otros;2019T4;3,4
07 Castilla y León;Otros;2019T3;2,6
07 Castilla y León;Otros;2019T2;2,6
07 Castilla y León;Otros;2019T1;1,9
07 Castilla y León;Otros;2018T4;2
07 Castilla y León;Otros;2018T3;2,2
07 Castilla y León;Otros;2018T2;3
07 Castilla y León;Otros;2018T1;3,7
07 Castilla y León;Otros;2017T4;3,2
07 Castilla y León;Otros;2017T3;3,3
07 Castilla y León;Otros;2017T2;2,8
07 Castilla y León;Otros;2017T1;3,6
07 Castilla y León;Otros;2016T4;2,1
07 Castilla y León;Otros;2016T3;1,6
07 Castilla y León;Otros;2016T2;1,5
07 Castilla y León;Otros;2016T1;4
07 Castilla y León;Otros;2015T4;2,8
07 Castilla y León;Otros;2015T3;3,1
07 Castilla y León;Otros;2015T2;3
07 Castilla y León;Otros;2015T1;2,4
07 Castilla y León;Otros;2014T4;1,8
07 Castilla y León;Otros;2014T3;2
07 Castilla y León;Otros;2014T2;1,6
07 Castilla y León;Otros;2014T1;1,7
07 Castilla y León;Otros;2013T4;2
07 Castilla y León;Otros;2013T3;2,4
08 Castilla - La Mancha;Total;2024T4;100
08 Castilla - La Mancha;Total;2024T3;100
08 Castilla - La Mancha;Total;2024T2;100
08 Castilla - La Mancha;Total;2024T1;100
08 Castilla - La Mancha;Total;2023T4;100
08 Castilla - La Mancha;Total;2023T3;100
08 Castilla - La Mancha;Total;2023T2;100
08 Castilla - La Mancha;Total;2023T1;100
08 Castilla - La Mancha;Total;2022T4;100
08 Castilla - La Mancha;Total;2022T3;100
08 Castilla - La Mancha;Total;2022T2;100
08 Castilla - La Mancha;Total;2022T1;100
08 Castilla - La Mancha;Total;2021T4;100
08 Castilla - La Mancha;Total;2021T3;100
08 Castilla - La Mancha;Total;2021T2;100
08 Castilla - La Mancha;Total;2021T1;100
08 Castilla - La Mancha;Total;2020T4;100
08 Castilla - La Mancha;Total;2020T3;100
08 Castilla - La Mancha;Total;2020T2;100
08 Castilla - La Mancha;Total;2020T1;100
08 Castilla - La Mancha;Total;2019T4;100
08 Castilla - La Mancha;Total;2019T3;100
08 Castilla - La Mancha;Total;2019T2;100
08 Castilla - La Mancha;Total;2019T1;100
08 Castilla - La Mancha;Total;2018T4;100
08 Castilla - La Mancha;Total;2018T3;100
08 Castilla - La Mancha;Total;2018T2;100
08 Castilla - La Mancha;Total;2018T1;100
08 Castilla - La Mancha;Total;2017T4;100
08 Castilla - La Mancha;Total;2017T3;100
08 Castilla - La Mancha;Total;2017T2;100
08 Castilla - La Mancha;Total;2017T1;100
08 Castilla - La Mancha;Total;2016T4;100
08 Castilla - La Mancha;Total;2016T3;100
08 Castilla - La Mancha;Total;2016T2;100
08 Castilla - La Mancha;Total;2016T1;100
08 Castilla - La Mancha;Total;2015T4;100
08 Castilla - La Mancha;Total;2015T3;100
08 Castilla - La Mancha;Total;2015T2;100
08 Castilla - La Mancha;Total;2015T1;100
08 Castilla - La Mancha;Total;2014T4;100
08 Castilla - La Mancha;Total;2014T3;100
08 Castilla - La Mancha;Total;2014T2;100
08 Castilla - La Mancha;Total;2014T1;100
08 Castilla - La Mancha;Total;2013T4;100
08 Castilla - La Mancha;Total;2013T3;100
08 Castilla - La Mancha;No se necesita ningún trabajador;2024T4;91,9
08 Castilla - La Mancha;No se necesita ningún trabajador;2024T3;91,7
08 Castilla - La Mancha;No se necesita ningún trabajador;2024T2;91,4
08 Castilla - La Mancha;No se necesita ningún trabajador;2024T1;88,1
08 Castilla - La Mancha;No se necesita ningún trabajador;2023T4;91,7
08 Castilla - La Mancha;No se necesita ningún trabajador;2023T3;92,4
08 Castilla - La Mancha;No se necesita ningún trabajador;2023T2;93,5
08 Castilla - La Mancha;No se necesita ningún trabajador;2023T1;92,2
08 Castilla - La Mancha;No se necesita ningún trabajador;2022T4;94
08 Castilla - La Mancha;No se necesita ningún trabajador;2022T3;95,9
08 Castilla - La Mancha;No se necesita ningún trabajador;2022T2;92,9
08 Castilla - La Mancha;No se necesita ningún trabajador;2022T1;94,4
08 Castilla - La Mancha;No se necesita ningún trabajador;2021T4;96,1
08 Castilla - La Mancha;No se necesita ningún trabajador;2021T3;96,5
08 Castilla - La Mancha;No se necesita ningún trabajador;2021T2;94
08 Castilla - La Mancha;No se necesita ningún trabajador;2021T1;94
08 Castilla - La Mancha;No se necesita ningún trabajador;2020T4;95,9
08 Castilla - La Mancha;No se necesita ningún trabajador;2020T3;91,8
08 Castilla - La Mancha;No se necesita ningún trabajador;2020T2;93,1
08 Castilla - La Mancha;No se necesita ningún trabajador;2020T1;91,8
08 Castilla - La Mancha;No se necesita ningún trabajador;2019T4;91,9
08 Castilla - La Mancha;No se necesita ningún trabajador;2019T3;94,9
08 Castilla - La Mancha;No se necesita ningún trabajador;2019T2;91,6
08 Castilla - La Mancha;No se necesita ningún trabajador;2019T1;94
08 Castilla - La Mancha;No se necesita ningún trabajador;2018T4;91,9
08 Castilla - La Mancha;No se necesita ningún trabajador;2018T3;92,4
08 Castilla - La Mancha;No se necesita ningún trabajador;2018T2;93,6
08 Castilla - La Mancha;No se necesita ningún trabajador;2018T1;92,3
08 Castilla - La Mancha;No se necesita ningún trabajador;2017T4;93,5
08 Castilla - La Mancha;No se necesita ningún trabajador;2017T3;92,1
08 Castilla - La Mancha;No se necesita ningún trabajador;2017T2;91,9
08 Castilla - La Mancha;No se necesita ningún trabajador;2017T1;88,9
08 Castilla - La Mancha;No se necesita ningún trabajador;2016T4;92,3
08 Castilla - La Mancha;No se necesita ningún trabajador;2016T3;93,8
08 Castilla - La Mancha;No se necesita ningún trabajador;2016T2;93,5
08 Castilla - La Mancha;No se necesita ningún trabajador;2016T1;92,8
08 Castilla - La Mancha;No se necesita ningún trabajador;2015T4;91,9
08 Castilla - La Mancha;No se necesita ningún trabajador;2015T3;90,7
08 Castilla - La Mancha;No se necesita ningún trabajador;2015T2;94,5
08 Castilla - La Mancha;No se necesita ningún trabajador;2015T1;92,4
08 Castilla - La Mancha;No se necesita ningún trabajador;2014T4;96
08 Castilla - La Mancha;No se necesita ningún trabajador;2014T3;95,5
08 Castilla - La Mancha;No se necesita ningún trabajador;2014T2;94,6
08 Castilla - La Mancha;No se necesita ningún trabajador;2014T1;94,4
08 Castilla - La Mancha;No se necesita ningún trabajador;2013T4;92,9
08 Castilla - La Mancha;No se necesita ningún trabajador;2013T3;95,8
08 Castilla - La Mancha;Elevado coste de contratación;2024T4;5
08 Castilla - La Mancha;Elevado coste de contratación;2024T3;4,2
08 Castilla - La Mancha;Elevado coste de contratación;2024T2;3,5
08 Castilla - La Mancha;Elevado coste de contratación;2024T1;6,9
08 Castilla - La Mancha;Elevado coste de contratación;2023T4;4,9
08 Castilla - La Mancha;Elevado coste de contratación;2023T3;4,9
08 Castilla - La Mancha;Elevado coste de contratación;2023T2;4
08 Castilla - La Mancha;Elevado coste de contratación;2023T1;4,8
08 Castilla - La Mancha;Elevado coste de contratación;2022T4;4,5
08 Castilla - La Mancha;Elevado coste de contratación;2022T3;2
08 Castilla - La Mancha;Elevado coste de contratación;2022T2;3,1
08 Castilla - La Mancha;Elevado coste de contratación;2022T1;3,9
08 Castilla - La Mancha;Elevado coste de contratación;2021T4;3
08 Castilla - La Mancha;Elevado coste de contratación;2021T3;1,9
08 Castilla - La Mancha;Elevado coste de contratación;2021T2;3,1
08 Castilla - La Mancha;Elevado coste de contratación;2021T1;3,8
08 Castilla - La Mancha;Elevado coste de contratación;2020T4;1,7
08 Castilla - La Mancha;Elevado coste de contratación;2020T3;4,4
08 Castilla - La Mancha;Elevado coste de contratación;2020T2;4,1
08 Castilla - La Mancha;Elevado coste de contratación;2020T1;5,3
08 Castilla - La Mancha;Elevado coste de contratación;2019T4;6,5
08 Castilla - La Mancha;Elevado coste de contratación;2019T3;3,6
08 Castilla - La Mancha;Elevado coste de contratación;2019T2;7
08 Castilla - La Mancha;Elevado coste de contratación;2019T1;4,6
08 Castilla - La Mancha;Elevado coste de contratación;2018T4;6,8
08 Castilla - La Mancha;Elevado coste de contratación;2018T3;6,1
08 Castilla - La Mancha;Elevado coste de contratación;2018T2;5
08 Castilla - La Mancha;Elevado coste de contratación;2018T1;6,5
08 Castilla - La Mancha;Elevado coste de contratación;2017T4;4,5
08 Castilla - La Mancha;Elevado coste de contratación;2017T3;5,5
08 Castilla - La Mancha;Elevado coste de contratación;2017T2;6,3
08 Castilla - La Mancha;Elevado coste de contratación;2017T1;8,1
08 Castilla - La Mancha;Elevado coste de contratación;2016T4;6,3
08 Castilla - La Mancha;Elevado coste de contratación;2016T3;5
08 Castilla - La Mancha;Elevado coste de contratación;2016T2;4,7
08 Castilla - La Mancha;Elevado coste de contratación;2016T1;5,7
08 Castilla - La Mancha;Elevado coste de contratación;2015T4;6,9
08 Castilla - La Mancha;Elevado coste de contratación;2015T3;7,8
08 Castilla - La Mancha;Elevado coste de contratación;2015T2;4,5
08 Castilla - La Mancha;Elevado coste de contratación;2015T1;5,2
08 Castilla - La Mancha;Elevado coste de contratación;2014T4;3
08 Castilla - La Mancha;Elevado coste de contratación;2014T3;3,3
08 Castilla - La Mancha;Elevado coste de contratación;2014T2;3,9
08 Castilla - La Mancha;Elevado coste de contratación;2014T1;3,8
08 Castilla - La Mancha;Elevado coste de contratación;2013T4;4,9
08 Castilla - La Mancha;Elevado coste de contratación;2013T3;2,5
08 Castilla - La Mancha;Otros;2024T4;3,1
08 Castilla - La Mancha;Otros;2024T3;4,1
08 Castilla - La Mancha;Otros;2024T2;5,1
08 Castilla - La Mancha;Otros;2024T1;5
08 Castilla - La Mancha;Otros;2023T4;3,4
08 Castilla - La Mancha;Otros;2023T3;2,7
08 Castilla - La Mancha;Otros;2023T2;2,5
08 Castilla - La Mancha;Otros;2023T1;3
08 Castilla - La Mancha;Otros;2022T4;1,5
08 Castilla - La Mancha;Otros;2022T3;2,1
08 Castilla - La Mancha;Otros;2022T2;4
08 Castilla - La Mancha;Otros;2022T1;1,7
08 Castilla - La Mancha;Otros;2021T4;0,9
08 Castilla - La Mancha;Otros;2021T3;1,6
08 Castilla - La Mancha;Otros;2021T2;2,9
08 Castilla - La Mancha;Otros;2021T1;2,2
08 Castilla - La Mancha;Otros;2020T4;2,4
08 Castilla - La Mancha;Otros;2020T3;3,8
08 Castilla - La Mancha;Otros;2020T2;2,8
08 Castilla - La Mancha;Otros;2020T1;2,9
08 Castilla - La Mancha;Otros;2019T4;1,6
08 Castilla - La Mancha;Otros;2019T3;1,5
08 Castilla - La Mancha;Otros;2019T2;1,4
08 Castilla - La Mancha;Otros;2019T1;1,4
08 Castilla - La Mancha;Otros;2018T4;1,3
08 Castilla - La Mancha;Otros;2018T3;1,5
08 Castilla - La Mancha;Otros;2018T2;1,4
08 Castilla - La Mancha;Otros;2018T1;1,2
08 Castilla - La Mancha;Otros;2017T4;2
08 Castilla - La Mancha;Otros;2017T3;2,4
08 Castilla - La Mancha;Otros;2017T2;1,8
08 Castilla - La Mancha;Otros;2017T1;3
08 Castilla - La Mancha;Otros;2016T4;1,4
08 Castilla - La Mancha;Otros;2016T3;1,2
08 Castilla - La Mancha;Otros;2016T2;1,8
08 Castilla - La Mancha;Otros;2016T1;1,5
08 Castilla - La Mancha;Otros;2015T4;1,2
08 Castilla - La Mancha;Otros;2015T3;1,5
08 Castilla - La Mancha;Otros;2015T2;1
08 Castilla - La Mancha;Otros;2015T1;2,4
08 Castilla - La Mancha;Otros;2014T4;1
08 Castilla - La Mancha;Otros;2014T3;1,2
08 Castilla - La Mancha;Otros;2014T2;1,4
08 Castilla - La Mancha;Otros;2014T1;1,9
08 Castilla - La Mancha;Otros;2013T4;2,1
08 Castilla - La Mancha;Otros;2013T3;1,6
09 Cataluña;Total;2024T4;100
09 Cataluña;Total;2024T3;100
09 Cataluña;Total;2024T2;100
09 Cataluña;Total;2024T1;100
09 Cataluña;Total;2023T4;100
09 Cataluña;Total;2023T3;100
09 Cataluña;Total;2023T2;100
09 Cataluña;Total;2023T1;100
09 Cataluña;Total;2022T4;100
09 Cataluña;Total;2022T3;100
09 Cataluña;Total;2022T2;100
09 Cataluña;Total;2022T1;100
09 Cataluña;Total;2021T4;100
09 Cataluña;Total;2021T3;100
09 Cataluña;Total;2021T2;100
